23:40:40.926 [main] INFO  io.gatling.compiler.ZincCompiler$ - compiling 1 Scala source to /Volumes/Projects/microservice-apps/performanceTest/target/test-classes ...
23:40:42.467 [main] INFO  io.gatling.compiler.ZincCompiler$ - done compiling
23:40:43.648 [main] INFO  i.g.c.config.GatlingConfiguration$ - Gatling will try to use 'gatling.conf' as config file.
23:40:43.952 [GatlingSystem-akka.actor.default-dispatcher-4] INFO  akka.event.slf4j.Slf4jLogger - Slf4jLogger started
23:40:44.376 [GatlingSystem-akka.actor.default-dispatcher-5] INFO  i.g.c.stats.writer.ConsoleDataWriter - Initializing
23:40:44.376 [GatlingSystem-akka.actor.default-dispatcher-6] INFO  i.g.c.stats.writer.LogFileDataWriter - Initializing
23:40:44.382 [GatlingSystem-akka.actor.default-dispatcher-5] INFO  i.g.c.stats.writer.ConsoleDataWriter - Initialized
23:40:44.382 [GatlingSystem-akka.actor.default-dispatcher-6] INFO  i.g.c.stats.writer.LogFileDataWriter - Initialized
23:40:44.406 [GatlingSystem-akka.actor.default-dispatcher-6] INFO  i.g.core.controller.inject.Injector - Scenario create and delete article has finished injecting
23:40:44.406 [GatlingSystem-akka.actor.default-dispatcher-6] INFO  i.g.core.controller.inject.Injector - Injecting is done
23:40:44.758 [gatling-1-12] DEBUG com.intuit.karate.Suite - [config] classpath:karate-config.js
23:40:44.765 [gatling-1-18] DEBUG com.intuit.karate.Suite - [config] classpath:karate-config.js
23:40:44.770 [gatling-1-27] DEBUG com.intuit.karate.Suite - [config] classpath:karate-config.js
23:40:44.803 [gatling-1-32] DEBUG com.intuit.karate.Suite - [config] classpath:karate-config.js
23:40:44.804 [gatling-1-2] DEBUG com.intuit.karate.Suite - [config] classpath:karate-config.js
23:40:44.804 [gatling-1-13] DEBUG com.intuit.karate.Suite - [config] classpath:karate-config.js
23:40:44.804 [gatling-1-17] DEBUG com.intuit.karate.Suite - [config] classpath:karate-config.js
23:40:44.804 [gatling-1-25] DEBUG com.intuit.karate.Suite - [config] classpath:karate-config.js
23:40:44.804 [gatling-1-10] DEBUG com.intuit.karate.Suite - [config] classpath:karate-config.js
23:40:44.804 [gatling-1-15] DEBUG com.intuit.karate.Suite - [config] classpath:karate-config.js
23:40:44.804 [gatling-1-28] DEBUG com.intuit.karate.Suite - [config] classpath:karate-config.js
23:40:44.804 [gatling-1-19] DEBUG com.intuit.karate.Suite - [config] classpath:karate-config.js
23:40:44.804 [gatling-1-23] DEBUG com.intuit.karate.Suite - [config] classpath:karate-config.js
23:40:44.804 [gatling-1-29] DEBUG com.intuit.karate.Suite - [config] classpath:karate-config.js
23:40:44.804 [gatling-1-16] DEBUG com.intuit.karate.Suite - [config] classpath:karate-config.js
23:40:44.803 [gatling-1-4] DEBUG com.intuit.karate.Suite - [config] classpath:karate-config.js
23:40:44.804 [gatling-1-31] DEBUG com.intuit.karate.Suite - [config] classpath:karate-config.js
23:40:44.805 [gatling-1-1] DEBUG com.intuit.karate.Suite - [config] classpath:karate-config.js
23:40:44.804 [gatling-1-30] DEBUG com.intuit.karate.Suite - [config] classpath:karate-config.js
23:40:44.805 [gatling-1-9] DEBUG com.intuit.karate.Suite - [config] classpath:karate-config.js
23:40:44.806 [gatling-1-8] DEBUG com.intuit.karate.Suite - [config] classpath:karate-config.js
23:40:44.806 [gatling-1-5] DEBUG com.intuit.karate.Suite - [config] classpath:karate-config.js
23:40:44.806 [gatling-1-7] DEBUG com.intuit.karate.Suite - [config] classpath:karate-config.js
23:40:44.806 [gatling-1-26] DEBUG com.intuit.karate.Suite - [config] classpath:karate-config.js
23:40:44.806 [gatling-1-22] DEBUG com.intuit.karate.Suite - [config] classpath:karate-config.js
23:40:44.806 [gatling-1-20] DEBUG com.intuit.karate.Suite - [config] classpath:karate-config.js
23:40:44.806 [gatling-1-6] DEBUG com.intuit.karate.Suite - [config] classpath:karate-config.js
23:40:44.807 [gatling-1-14] DEBUG com.intuit.karate.Suite - [config] classpath:karate-config.js
23:40:44.807 [gatling-1-21] DEBUG com.intuit.karate.Suite - [config] classpath:karate-config.js
23:40:44.808 [gatling-1-11] DEBUG com.intuit.karate.Suite - [config] classpath:karate-config.js
23:40:44.809 [gatling-1-24] DEBUG com.intuit.karate.Suite - [config] classpath:karate-config.js
23:40:44.811 [gatling-1-3] DEBUG com.intuit.karate.Suite - [config] classpath:karate-config.js
23:40:44.838 [gatling-1-24] DEBUG com.intuit.karate.Suite - [config] classpath:karate-config.js
23:40:44.838 [gatling-1-4] DEBUG com.intuit.karate.Suite - [config] classpath:karate-config.js
23:40:44.838 [gatling-1-3] DEBUG com.intuit.karate.Suite - [config] classpath:karate-config.js
23:40:44.838 [gatling-1-7] DEBUG com.intuit.karate.Suite - [config] classpath:karate-config.js
23:40:44.838 [gatling-1-31] DEBUG com.intuit.karate.Suite - [config] classpath:karate-config.js
23:40:44.838 [gatling-1-20] DEBUG com.intuit.karate.Suite - [config] classpath:karate-config.js
23:40:44.838 [gatling-1-18] DEBUG com.intuit.karate.Suite - [config] classpath:karate-config.js
23:40:44.838 [gatling-1-25] DEBUG com.intuit.karate.Suite - [config] classpath:karate-config.js
23:40:44.838 [gatling-1-1] DEBUG com.intuit.karate.Suite - [config] classpath:karate-config.js
23:40:44.838 [gatling-1-16] DEBUG com.intuit.karate.Suite - [config] classpath:karate-config.js
23:40:44.839 [gatling-1-8] DEBUG com.intuit.karate.Suite - [config] classpath:karate-config.js
23:40:44.839 [gatling-1-2] DEBUG com.intuit.karate.Suite - [config] classpath:karate-config.js
23:40:44.839 [gatling-1-12] DEBUG com.intuit.karate.Suite - [config] classpath:karate-config.js
23:40:44.838 [gatling-1-11] DEBUG com.intuit.karate.Suite - [config] classpath:karate-config.js
23:40:44.838 [gatling-1-22] DEBUG com.intuit.karate.Suite - [config] classpath:karate-config.js
23:40:44.844 [gatling-1-19] DEBUG com.intuit.karate.Suite - [config] classpath:karate-config.js
23:40:44.844 [gatling-1-18] DEBUG com.intuit.karate.Suite - [config] classpath:karate-config.js
23:40:44.844 [gatling-1-15] DEBUG com.intuit.karate.Suite - [config] classpath:karate-config.js
23:40:44.844 [gatling-1-31] DEBUG com.intuit.karate.Suite - [config] classpath:karate-config.js
23:40:44.844 [gatling-1-3] DEBUG com.intuit.karate.Suite - [config] classpath:karate-config.js
23:40:44.845 [gatling-1-7] DEBUG com.intuit.karate.Suite - [config] classpath:karate-config.js
23:40:44.845 [gatling-1-1] DEBUG com.intuit.karate.Suite - [config] classpath:karate-config.js
23:40:44.845 [gatling-1-8] DEBUG com.intuit.karate.Suite - [config] classpath:karate-config.js
23:40:44.845 [gatling-1-12] DEBUG com.intuit.karate.Suite - [config] classpath:karate-config.js
23:40:44.846 [gatling-1-11] DEBUG com.intuit.karate.Suite - [config] classpath:karate-config.js
23:40:44.846 [gatling-1-16] DEBUG com.intuit.karate.Suite - [config] classpath:karate-config.js
23:40:44.846 [gatling-1-24] DEBUG com.intuit.karate.Suite - [config] classpath:karate-config.js
23:40:44.846 [gatling-1-25] DEBUG com.intuit.karate.Suite - [config] classpath:karate-config.js
23:40:44.847 [gatling-1-22] DEBUG com.intuit.karate.Suite - [config] classpath:karate-config.js
23:40:44.838 [gatling-1-13] DEBUG com.intuit.karate.Suite - [config] classpath:karate-config.js
23:40:44.838 [gatling-1-14] DEBUG com.intuit.karate.Suite - [config] classpath:karate-config.js
23:40:44.849 [gatling-1-26] DEBUG com.intuit.karate.Suite - [config] classpath:karate-config.js
23:40:44.849 [gatling-1-6] DEBUG com.intuit.karate.Suite - [config] classpath:karate-config.js
23:40:44.838 [gatling-1-30] DEBUG com.intuit.karate.Suite - [config] classpath:karate-config.js
23:40:44.851 [gatling-1-4] DEBUG com.intuit.karate.Suite - [config] classpath:karate-config.js
23:40:44.851 [gatling-1-19] DEBUG com.intuit.karate.Suite - [config] classpath:karate-config.js
23:40:44.851 [gatling-1-20] DEBUG com.intuit.karate.Suite - [config] classpath:karate-config.js
23:40:44.851 [gatling-1-15] DEBUG com.intuit.karate.Suite - [config] classpath:karate-config.js
23:40:44.853 [gatling-1-18] DEBUG com.intuit.karate.Suite - [config] classpath:karate-config.js
23:40:44.854 [gatling-1-31] DEBUG com.intuit.karate.Suite - [config] classpath:karate-config.js
23:40:44.854 [gatling-1-7] DEBUG com.intuit.karate.Suite - [config] classpath:karate-config.js
23:40:44.838 [gatling-1-27] DEBUG com.intuit.karate.Suite - [config] classpath:karate-config.js
23:40:44.855 [gatling-1-14] DEBUG com.intuit.karate.Suite - [config] classpath:karate-config.js
23:40:44.855 [gatling-1-13] DEBUG com.intuit.karate.Suite - [config] classpath:karate-config.js
